species,feature,n_healthy,n_high,healthy_median,low_median,mid_median,high_median,effect_size_high_vs_healthy
wal_bilin,spot_count,30,12,2.0,1.0,3.0,7.5,1.83
thunpath_kurundu,spot_density_per_1000px,29,12,0.114,0.265,0.239,0.359,1.83
thunpath_kurundu,spot_mean_size,29,12,16.5,57.0,49.725,63.115,1.86
maha_undupiyaliya,deform_luminance_std,30,12,26.676,31.359,31.691,34.174,1.88
kasthuri_dehi,ldsi_scar_sub,30,12,0.0,4.917,19.782,9.126,1.99
kasthuri_dehi,scar_tissue_ratio,30,12,0.0,0.049,0.198,0.091,1.99
kasthuri_dehi,hole_count,30,12,0.0,1.5,1.0,2.0,2.0
beli,spot_count,30,12,1.0,2.0,2.5,3.0,2.0
beli,necrotic_spot_count,30,12,1.0,2.0,2.5,3.0,2.0
kattakumanjal,colour_pct_pale_patch,30,12,0.073,0.148,0.139,0.246,2.02
kathurupila,hole_area_ratio,30,12,0.018,0.031,0.034,0.038,2.04
wal_kollu,hole_area_ratio,30,12,0.0,0.001,0.004,0.006,2.12
wal_kollu,hole_count,30,12,0.0,2.0,3.0,6.0,2.18
kasthuri_dehi,texture_h_glcm_contrast_mean,30,12,10.299,14.765,11.629,14.309,2.32
nil_awariya,texture_h_lbp_entropy,30,12,3.118,3.037,3.096,3.404,2.45
wal_kollu,colour_pct_pale_patch,30,12,0.018,0.029,0.084,0.116,2.48
thunpath_kurundu,ldsi_hole_sub,29,12,0.0,14.235,17.885,28.704,2.57
nil_awariya,necrotic_spot_count,30,12,23.5,40.5,36.0,42.0,2.64
beli,ldsi_hole_sub,30,12,11.52,13.628,16.353,26.405,2.67
nil_awariya,spot_count,30,12,24.0,41.0,36.0,42.0,2.67
thunpath_kurundu,boundary_contour_roughness,29,12,1.098,1.118,1.116,1.145,2.71
wal_kollu,boundary_contour_roughness,30,12,1.108,1.121,1.121,1.16,2.91
kathurupila,texture_h_lbp_entropy,30,12,2.558,2.828,2.8,2.914,2.99
maha_undupiyaliya,boundary_contour_roughness,30,12,1.122,1.123,1.122,1.185,3.15
maha_undupiyaliya,texture_h_glcm_contrast_mean,30,12,6.611,10.237,9.201,12.297,3.19
beli,hole_count,30,12,2.0,3.0,5.0,8.5,3.25
beli,colour_pct_pale_patch,30,12,0.019,0.013,0.028,0.088,3.5
maha_undupiyaliya,ldsi_hole_sub,30,12,9.298,14.955,13.361,30.0,3.7
thunpath_kurundu,colour_pct_necrotic,29,12,0.5,2.002,1.692,2.386,3.86
thunpath_kurundu,hole_count,29,12,0.0,2.0,2.0,4.0,4.0
thunpath_kurundu,spot_area_ratio,29,12,0.002,0.013,0.013,0.017,4.09
ranawara,boundary_margin_deficit_ratio,30,12,0.005,0.01,0.017,0.036,4.14
thunpath_kurundu,ldsi_colour_sub,29,12,0.178,0.714,0.593,0.842,4.47
maha_undupiyaliya,hole_area_ratio,30,12,0.001,0.005,0.004,0.019,4.68
maha_undupiyaliya,colour_pct_pale_patch,30,12,0.011,0.063,0.054,0.367,6.43
thunpath_kurundu,hole_area_ratio,29,12,0.0,0.004,0.007,0.014,6.49
thunpath_kurundu,spot_count,29,12,1.0,5.0,4.5,7.5,6.5
thunpath_kurundu,necrotic_spot_count,29,12,1.0,5.0,4.5,7.5,6.5
siyambala,boundary_margin_deficit_ratio,30,12,0.002,0.004,0.001,0.041,17.7
siyambala,colour_pct_chlorotic,30,12,0.102,0.148,0.135,2.43,37.69
